title,authors,year,abstract,keywords,doi,url,venue,type,source
Generative Artificial Intelligence Policies under the Microscope,"Mahjabin Nahar, Sian Lee, Rebekah Guillen, Dongwon Lee",2025,How computer science conferences are navigating the new frontier in scholarly writing.,,10.1145/3720536,https://dl.acm.org/doi/10.1145/3720536,"Communications of the ACM (CACM), Volume 68, Issue 7Pages 29–33https://doi.org/10.1145/3720536",article,ACM
Machine Learning on Graphs in the Era of Generative Artificial Intelligence,"Yu Wang, Yu Zhang, Zhichun Guo, Harry Shomer, Haoyu Han, Tyler Derr, Nesreen K. Ahmed, Mahantesh Halappanavar, Jiliang Tang",2025,"Graphs, which encode pairwise relations between entities, serve as a fundamental data structure across real-world domains. Many critical applications can be formulated as graph-based tasks, and graph machine learning (GML), from the shallow embedding ...",,10.1145/3711896.3737870,https://dl.acm.org/doi/10.1145/3711896.3737870,KDD '25: Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2Pages 6296–6297https://doi.org/10.1145/3711896.3737870,article,ACM
Experiencing Art Museum with a Generative Artificial Intelligence Chatbot,"Huan Wang, Andrii Matviienko",2025,"Generative Artificial Intelligence (GenAI) chatbots start changing experiences with art for museum visitors by making them more interactive and engaging. However, it remains underexplored how GenAI chatbots influence visitors’ in-field experience and ...",,10.1145/3706370.3731650,https://dl.acm.org/doi/10.1145/3706370.3731650,IMX '25: Proceedings of the 2025 ACM International Conference on Interactive Media ExperiencesPages 430–436https://doi.org/10.1145/3706370.3731650,article,ACM
Analyzing Students' Use of Generative Artificial Intelligence in Collaborative Problem Solving,"Xiuyu Chen, Shihui Feng",2025,"This study analyzed how students used generative artificial intelligence (GAI) tools in collaborative problem solving. We examined students’ GAI usage using conversational data and screen recordings from 12 groups, each comprising three university ...",,10.1145/3715070.3749257,https://dl.acm.org/doi/10.1145/3715070.3749257,CSCW Companion '25: Companion Publication of the 2025 Conference on Computer-Supported Cooperative Work and Social ComputingPages 385–389https://doi.org/10.1145/3715070.3749257,article,ACM
Network Security Issues Caused by Generative Artificial Intelligence,Baiqiang Liu,2025,"It has recently emerged that generative Artificial Intelligence (AI) has been significantly developed and can create realistic speech, images, and video. Although such innovations provide many advantages, they pose major threats to the network's security. ...",,10.1145/3726010.3726029,https://dl.acm.org/doi/10.1145/3726010.3726029,"ICADI '24: Proceedings of the 2024 International Conference on Artificial Intelligence, Digital Media Technology and Interaction DesignPages 132–136https://doi.org/10.1145/3726010.3726029",article,ACM
The relationship between generative artificial intelligence and cybersecurity,"Peter Banyasz, Tamas Szadeczky, Kincso Boroka Vaczi",2024,This research paper investigates the adoption of generative artificial intelligence by citizens using the Technology Adoption Propensity (TAP) index. The study aims to explore the influence of cybersecurity factors on the acceptance of generative ...,,10.1145/3670243.3670781,https://dl.acm.org/doi/10.1145/3670243.3670781,CEEeGov '24: Proceedings of the Central and Eastern European eDem and eGov Days 2024Pages 209–215https://doi.org/10.1145/3670243.3670781,article,ACM
Application of Generative Artificial Intelligence for Epidemic Modeling,"Hannah Danielle Ladera Villaplana, Jaeyoung Kwak, Michael H. Lees, Hongying Li, Wentong Cai",2025,"Epidemic models have become increasingly useful, especially in the wake of the recent COVID-19 pandemic, emphasizing the crucial role of human behavior in the spread of disease. There has been a recent rise in the usage and popularity of generative ...",,10.5555/3712729.3712955,https://dl.acm.org/doi/10.5555/3712729.3712955,WSC '24: Proceedings of the Winter Simulation ConferencePages 2727–2738,article,ACM
"Generative Artificial Intelligence Enabling Fragmented Learning: Status, Challenges and Optimization Strategies","Wenjing Zhang, Linying Zou",2025,"The rapid evolution of mobile Internet and artificial intelligence technology has pushed Fragmented Learning to the main learning space for college students and lifelong learners. While Fragmented Learning brings convenience, it also faces challenges such ...",,10.1145/3746469.3746486,https://dl.acm.org/doi/10.1145/3746469.3746486,EDCS '25: Proceedings of the 2nd Guangdong-Hong Kong-Macao Greater Bay Area Education Digitalization and Computer Science International ConferencePages 94–99https://doi.org/10.1145/3746469.3746486,article,ACM
Application analysis of generative artificial intelligence in basic education,"Xiaoming Qiu, Shu Zhang",2025,"This paper makes a detailed analysis of the application of Generative ARTIFICIAL intelligence in the field of basic education, and clarifies the existing problems, including the alienation of teaching process, the adaptation of teachers and students to ...",,10.1145/3723420.3723428,https://dl.acm.org/doi/10.1145/3723420.3723428,"EBIMCS '24: Proceedings of the 2024 7th International Conference on E-Business, Information Management and Computer SciencePages 41–46https://doi.org/10.1145/3723420.3723428",article,ACM
Automated Discourse Analysis via Generative Artificial Intelligence,"Ryan Garg, Jaeyoung Han, Yixin Cheng, Zheng Fang, Zachari Swiecki",2024,"Coding discourse data is critical to many learning analytics studies. To code their data, researchers may use manual techniques, automated techniques, or a combination thereof. Manual coding can be time-consuming and error prone; automated coding can be ...",,10.1145/3636555.3636879,https://dl.acm.org/doi/10.1145/3636555.3636879,LAK '24: Proceedings of the 14th Learning Analytics and Knowledge ConferencePages 814–820https://doi.org/10.1145/3636555.3636879,article,ACM
Behavioral Analysis of Classroom Interactions Supported by Generative Artificial Intelligence,"Jiacun Wen, Yi Lin, Nian Si",2025,"Generative artificial intelligence, represented by Chatgpt, has been developing rapidly because of its superiority in form and process, covering almost all industries. In order to comply with the development of technology, some classroom teaching also ...",,10.1145/3711403.3711410,https://dl.acm.org/doi/10.1145/3711403.3711410,ICETM '24: Proceedings of the 2024 7th International Conference on Educational Technology ManagementPages 49–54https://doi.org/10.1145/3711403.3711410,article,ACM
Themes in the Declared Use of Generative Artificial Intelligence in Assessment,"Joseph Maguire, Rosanne English, Qi Cao, Chee Kiat Seow",2025,"Generative Artificial Intelligence use by students completing assessments has been an area of concern for academics. Some educators believe such use will undermine all assessment, while others think it has the potential to revolutionise assessments. This ...",,10.1145/3702212.3702217,https://dl.acm.org/doi/10.1145/3702212.3702217,CEP '25: Proceedings of the 9th Conference on Computing Education PracticePages 17–20https://doi.org/10.1145/3702212.3702217,article,ACM
The Mode and Practice Path of Generative Artificial Intelligence Empowerment Classroom Teaching -- Based on Grounded Theory,"Xiaoqing Zhang, Shipian Xu, Yuhui Jing",2025,"The integration of Generative Artificial Intelligence (GAI) in education has garnered increasing attention due to its transformative potential in classroom teaching. Using grounded theory, this study analyzes relevant policy texts and teaching case ...",,10.1145/3734921.3734931,https://dl.acm.org/doi/10.1145/3734921.3734931,GADM '25: Proceedings of the 2025 International Conference on Generative Artificial Intelligence and Digital MediaPages 58–62https://doi.org/10.1145/3734921.3734931,article,ACM
Trends and Challenges of Educational Application of Generative Artificial Intelligence,"Peijie Zhou, Haixia Xu, Yang Tan, Meilan Liu, Xia Zhou, + 2",2025,The fast-paced development of generative artificial intelligence (GAI) has opened up new possibilities for innovation in education. This research searches the academic literature from the Web of Science (WoS) and China National Knowledge Infrastructure (...,,10.1145/3722237.3722379,https://dl.acm.org/doi/10.1145/3722237.3722379,ICAIE '24: Proceedings of the 2024 3rd International Conference on Artificial Intelligence and EducationPages 814–820https://doi.org/10.1145/3722237.3722379,article,ACM
Generative Artificial Intelligence Enables Multiple Learning Environments and Implementation Paths,"Ruishuang Jiang, Xiangchun He, Shaojun Zhang, Yaxin Zhou, Yuqi Han",2025,"This paper explores the application of generative artificial intelligence in the field of education and its potential to enhance multiple learning environments. Generative AI is a powerful tool capable of simulating human creativity and imagination, and ...",,10.1145/3711403.3711436,https://dl.acm.org/doi/10.1145/3711403.3711436,ICETM '24: Proceedings of the 2024 7th International Conference on Educational Technology ManagementPages 187–193https://doi.org/10.1145/3711403.3711436,article,ACM
Tribal Knowledge Cocreation in Generative Artificial Intelligence Systems,"Yi-Fan Wang, Yu-Che Chen, Yen-Chen Huang, Carol Redwing, Chun-Hua Tsai",2024,"Generative Artificial Intelligence (AI) systems bring innovative ways of information provision and knowledge delivery. In the public sector, generative AI has the potential to decrease bureaucratic discretion in the decision-making process. Increasing ...",,10.1145/3657054.3657129,https://dl.acm.org/doi/10.1145/3657054.3657129,dg.o '24: Proceedings of the 25th Annual International Conference on Digital Government ResearchPages 637–644https://doi.org/10.1145/3657054.3657129,article,ACM
Optimizing Teaching Approaches in Adolescent Ethics Education via Generative Artificial Intelligence,"Yanlong Huang, Aihua Yang, Qiong Wu",2025,The utilization of generative artificial intelligence (GAI) tools like ChatGPT and DeepSeek is bringing about significant changes in educational practices and learning environments. This alteration underlines the necessity to look into how AI can enhance ...,,10.1145/3746469.3746566,https://dl.acm.org/doi/10.1145/3746469.3746566,EDCS '25: Proceedings of the 2nd Guangdong-Hong Kong-Macao Greater Bay Area Education Digitalization and Computer Science International ConferencePages 619–624https://doi.org/10.1145/3746469.3746566,article,ACM
Co-designing a conversational generative artificial intelligence system for youth mental health,"Adam Poulsen, Ian B Hickie, Zsofi de Haan, William Capon, + 6",2025,"Conversational generative artificial intelligence (AI) is positioned to benefit youth mental health significantly. Chatbots, virtual assistants, and other conversational generative AI can play a key role in easing the burden on services and clinicians, ...",,10.1145/3706599.3719696,https://dl.acm.org/doi/10.1145/3706599.3719696,"CHI EA '25: Proceedings of the Extended Abstracts of the CHI Conference on Human Factors in Computing SystemsArticle No.: 138, Pages 1–7https://doi.org/10.1145/3706599.3719696",article,ACM
Research on the Collaborative Learning Model between Higher Vocational Students and Generative Artificial Intelligence,"Jing He, Dan Zhang, Xiaoyang Xu, Fangrong Wu, Yan Su",2025,"With the rapid development of Generative Artificial Intelligence (GAI), its application in the field of education provides new opportunities and challenges for teaching reform. This study introduces GAI into the course learning process of vocational ...",,10.1145/3748825.3748844,https://dl.acm.org/doi/10.1145/3748825.3748844,DSAI '25: Proceedings of the 2025 2nd International Conference on Digital Society and Artificial IntelligencePages 110–114https://doi.org/10.1145/3748825.3748844,article,ACM
Research on the Capacity of Generative Artificial Intelligence to Assist Higher Vocational Spoken English Teaching ——Analysis based on SPSS,Yang Liu,2025,"The application of generative artificial intelligence (GAI) in education is increasingly widespread, which brings innovation to the traditional spoken English teaching in higher vocational colleges. Based on Complex Dynamic Systems Theory (CDST), we ...",,10.1145/3734921.3734933,https://dl.acm.org/doi/10.1145/3734921.3734933,GADM '25: Proceedings of the 2025 International Conference on Generative Artificial Intelligence and Digital MediaPages 71–75https://doi.org/10.1145/3734921.3734933,article,ACM
How Do Information Technology Professionals Use Generative Artificial Intelligence?,"Patricia de Oliveira Santos, Allan Chamon Figueiredo, Pedro Nuno Moura, + 3",2024,"Context: The emergence of generative Artificial Intelligence (AI) and, more recently, the dissemination of Copilot, ChatGPT-3 and similar tools have broadened the discussion about the possibility of using generative AI tools in many professional segments ...",,10.1145/3658321.3658367,https://dl.acm.org/doi/10.1145/3658321.3658367,"SBSI '24: Proceedings of the 20th Brazilian Symposium on Information SystemsArticle No.: 56, Pages 1–9https://doi.org/10.1145/3658321.3658367",article,ACM
Social Dangers of Generative Artificial Intelligence: Review and Guidelines,"Alan Yang, T. Andrew Yang",2024,"In this paper, we provide a detailed survey of generative artificial intelligence (GAI) and examine the perceived social problems, including those that are currently apparent and those that can potentially be caused by the technology. After the ...",,10.1145/3657054.3664243,https://dl.acm.org/doi/10.1145/3657054.3664243,dg.o '24: Proceedings of the 25th Annual International Conference on Digital Government ResearchPages 654–658https://doi.org/10.1145/3657054.3664243,article,ACM
Software Engineering Research in a World with Generative Artificial Intelligence,Martin Rinard,2024,Generative artificial intelligence systems such as large language models (LLMs) exhibit powerful capabilities that many see as the kind of flexible and adaptive intelligence that previously only humans could exhibit. I address directions and implications ...,,10.1145/3597503.3649399,https://dl.acm.org/doi/10.1145/3597503.3649399,"ICSE '24: Proceedings of the IEEE/ACM 46th International Conference on Software EngineeringArticle No.: 2, Pages 1–5https://doi.org/10.1145/3597503.3649399",article,ACM
Research on the Status Quo of Rural Teaching Based on Generative Artificial Intelligence,Naolamu Sai,2025,"In the field of education, generative artificial intelligence is gradually becoming a key force to promote educational innovation and intelligent development. This technology simulates the process of human creation, generates innovative and practical ...",,10.1145/3711403.3711454,https://dl.acm.org/doi/10.1145/3711403.3711454,ICETM '24: Proceedings of the 2024 7th International Conference on Educational Technology ManagementPages 309–314https://doi.org/10.1145/3711403.3711454,article,ACM
QuizWiz: Integrating Generative Artificial Intelligence in an Online Study Tool,"Ali Husain Almadhoob, Akbar Sayed Kadhem Saleh, Fatema Akbar",2025,"The recent emergence of Generative Artificial Intelligence (GenAI) tools, such as ChatGPT, has introduced revolutionary capabilities that are predicted to transform numerous facets of society. For students, the advent of GenAI has the potential to ...",,10.1145/3704289.3704296,https://dl.acm.org/doi/10.1145/3704289.3704296,ICBDE '24: Proceedings of the 2024 7th International Conference on Big Data and EducationPages 87–96https://doi.org/10.1145/3704289.3704296,article,ACM
CARING-AI: Towards Authoring Context-aware Augmented Reality INstruction through Generative Artificial Intelligence,"Jingyu Shi, Rahul Jain, Seunggeun Chi, Hyungjun Doh, Hyung-gun Chi, + 2",2025,"Context-aware AR instruction enables adaptive and in-situ learning experiences. However, hardware limitations and expertise requirements constrain the creation of such instructions. With recent developments in Generative Artificial Intelligence (Gen-AI), ...",,10.1145/3706598.3713348,https://dl.acm.org/doi/10.1145/3706598.3713348,"CHI '25: Proceedings of the 2025 CHI Conference on Human Factors in Computing SystemsArticle No.: 29, Pages 1–23https://doi.org/10.1145/3706598.3713348",article,ACM
Exploration and research of generative artificial intelligence on higher vocational education,"Ming Deng, Suying Meng",2024,"Under the background of the rapid development of generative artificial intelligence, this paper deeply discusses the impact of generative artificial intelligence on higher vocational education, mainly from the following aspects. The first is the level of ...",,10.1145/3691720.3691809,https://dl.acm.org/doi/10.1145/3691720.3691809,EKI '24: Proceedings of the 2nd International Conference on Educational Knowledge and InformatizationPages 520–525https://doi.org/10.1145/3691720.3691809,article,ACM
Algorithm risks and governance considerations for Sora generative artificial intelligence,Guangheng Liao,2024,Sora is an artificial intelligence cultural and biological video model released by the American artificial intelligence research company OpenAI. It is a generative artificial intelligence algorithm based on deep learning and neural network technology. ...,,10.1145/3671151.3671178,https://dl.acm.org/doi/10.1145/3671151.3671178,CIBDA '24: Proceedings of the 5th International Conference on Computer Information and Big Data ApplicationsPages 143–147https://doi.org/10.1145/3671151.3671178,article,ACM
User Experience Design Professionals’ Perceptions of Generative Artificial Intelligence,"Jie Li, Hancheng Cao, Laura Lin, Youyang Hou, Ruihao Zhu, Abdallah El Ali",2024,"Among creative professionals, Generative Artificial Intelligence (GenAI) has sparked excitement over its capabilities and fear over unanticipated consequences. How does GenAI impact User Experience Design (UXD) practice, and are fears warranted? We ...",,10.1145/3613904.3642114,https://dl.acm.org/doi/10.1145/3613904.3642114,"CHI '24: Proceedings of the 2024 CHI Conference on Human Factors in Computing SystemsArticle No.: 381, Pages 1–18https://doi.org/10.1145/3613904.3642114",article,ACM
Generation and Evaluation of International Chinese Teaching Resources by Generative Artificial Intelligence,"Wen-di Zhang, Huan-xin Dou",2025,Generative artificial intelligence has set off a new round of intelligent revolution and promoted the reform and development of the education industry. The development of international Chinese education also requires the digitalization and intelligence ...,,10.1145/3724504.3724537,https://dl.acm.org/doi/10.1145/3724504.3724537,ICIEAI '24: Proceedings of the 2024 2nd International Conference on Information Education and Artificial IntelligencePages 187–192https://doi.org/10.1145/3724504.3724537,article,ACM
E-learning in the Generative Artificial Intelligence Era: Exploring the Middle Eastern context,Reham Salhab,2025,"The objective of this article is to examine the potential benefits and challenges of generative artificial intelligence (GenAI) in e-learning in the Middle East region. Literature review was conducted and revealed several benefits of GenAI, including but ...",,10.1145/3731626.3689825,https://dl.acm.org/doi/10.1145/3731626.3689825,"eLearn (ELEARN), Volume 2025, Issue 4Article No.: 1https://doi.org/10.1145/3731626.3689825",article,ACM
A Review of the Role and Impact of Generative Artificial Intelligence on Education,Qi Yang,2025,"In order to ensure quality development in the age of intelligence, it is crucial to integrate intelligent technology with education. Artificial Intelligence (AI) and Generative Artificial Intelligence (GAI) are disruptive technologies in the area of ...",,10.1145/3711403.3711435,https://dl.acm.org/doi/10.1145/3711403.3711435,ICETM '24: Proceedings of the 2024 7th International Conference on Educational Technology ManagementPages 121–127https://doi.org/10.1145/3711403.3711435,article,ACM
Application of Generative Artificial Intelligence in the BOPPPS Teaching Model,"Wenxiang Zhang, Zheng Liang, Tao Xie, Mingxing Liu",2025,"With the rapid development of GenAI technologies represented by systems like ChatGPT and DALL-E, AI applications have become increasingly popular in aspects of content generation, logical reasoning, and learning evaluation. The BOPPPS (Bridge-in, ...",,10.1145/3724504.3724526,https://dl.acm.org/doi/10.1145/3724504.3724526,"ICIEAI '24: Proceedings of the 2024 2nd International Conference on Information Education and Artificial IntelligenceDecember 2024, Pages 124–128https://doi.org/10.1145/3724504.3724526",article,ACM
PlantoGraphy: Incorporating Iterative Design Process into Generative Artificial Intelligence for Landscape Rendering,"Rong Huang, Haichuan Lin, Chuanzhang Chen, Kang Zhang, Wei Zeng",2024,"Landscape renderings are realistic images of landscape sites, allowing stakeholders to perceive better and evaluate design ideas. While recent advances in Generative Artificial Intelligence (GAI (generative artificial intelligence)) enable automated ...",,10.1145/3613904.3642824,https://dl.acm.org/doi/10.1145/3613904.3642824,"CHI '24: Proceedings of the 2024 CHI Conference on Human Factors in Computing SystemsArticle No.: 168, Pages 1–19https://doi.org/10.1145/3613904.3642824",article,ACM
Generative Artificial Intelligence (AIGC)-based Platform Economy Content Production Model and Marketing Strategy Innovation,"Minpeng Peng, Yawang Wang",2025,"As the platform economy enters the deep-water zone of intelligent transformation, generative artificial intelligence (AIGC) technology is reshaping the core logic of content production and marketing strategy. In this paper, we construct the ‘AIGC-DRIVE’ ...",,10.1145/3745676.3745728,https://dl.acm.org/doi/10.1145/3745676.3745728,ICIIS '25: Proceedings of the 2025 2nd International Conference on Innovation Management and Information SystemPages 356–362https://doi.org/10.1145/3745676.3745728,article,ACM
Research on the Transformation of Music Education Model under the Background of Generative Artificial Intelligence,"Zhi-Fang Li, Shuo zhao, Ya-Chen Zhang",2024,"Since 2022, the rapid development of generative artificial intelligence systems represented by Chat-GPT has profoundly influenced various fields. This article briefly introduces the development process of generative artificial intelligence models in ...",,10.1145/3678726.3678778,https://dl.acm.org/doi/10.1145/3678726.3678778,ICEMT '24: Proceedings of the 2024 8th International Conference on Education and Multimedia TechnologyPages 60–64https://doi.org/10.1145/3678726.3678778,article,ACM
Generative Artificial Intelligence Empowers the Research of Digital Textbooks in Vocational Education,"Yao Xu, Xiao Jian",2025,This research focuses on the application of AIGC in vocational education digital textbooks and how RAG technology can be used to further improve the interactivity and educational effectiveness of digital textbooks. The paper first analyzes the ...,,10.1145/3722237.3722377,https://dl.acm.org/doi/10.1145/3722237.3722377,ICAIE '24: Proceedings of the 2024 3rd International Conference on Artificial Intelligence and EducationPages 802–806https://doi.org/10.1145/3722237.3722377,article,ACM
A Design Scheme of STEM Digital Textbook Based on Metaverse and Generative Artificial Intelligence,"Yufei Luo, Danying Ke, Jian Lin",2025,"STEM teaching involves a wealth of interdisciplinary background knowledge. For traditional digital textbooks, due to the lack of a general way to integrate STEM interdisciplinary knowledge, it is difficult to provide learners with a sense of ...",,10.1145/3711403.3711453,https://dl.acm.org/doi/10.1145/3711403.3711453,ICETM '24: Proceedings of the 2024 7th International Conference on Educational Technology ManagementPages 299–308https://doi.org/10.1145/3711403.3711453,article,ACM
Instructional Approaches Complementing the Use of Generative Artificial Intelligence in Higher Education,"Catherine Beaton, Elissa Weeden, Stephen Zilora",2024,The explosion of generative artificial intelligence (AI) has created a level of chaos in higher education as both students and faculty try to determine its utility and how best to incorporate it into the learning process. Students may view generative AI ...,,10.1145/3686852.3687075,https://dl.acm.org/doi/10.1145/3686852.3687075,SIGITE '24: Proceedings of the 25th Annual Conference on Information Technology EducationPages 62–67https://doi.org/10.1145/3686852.3687075,article,ACM
MuFIN: A Framework for Automating Multimodal Feedback Generation using Generative Artificial Intelligence,"Jionghao Lin, Eason Chen, Ashish Gurung, Kenneth R. Koedinger",2024,"Written feedback has long been a cornerstone in educational and professional settings, essential for enhancing learning outcomes. However, multimodal feedback-integrating textual, auditory, and visual cues-promises a more engaging and effective learning ...",,10.1145/3657604.3664720,https://dl.acm.org/doi/10.1145/3657604.3664720,L@S '24: Proceedings of the Eleventh ACM Conference on Learning @ ScalePages 550–552https://doi.org/10.1145/3657604.3664720,article,ACM
Modeling the Chaotic Semantic States of Generative Artificial Intelligence (AI): A Quantum Mechanics Analogy Approach,"Tong Liu, Timothy R. McIntosh, Teo Susnjak, Paul Watters, Malka N. Halgamuge",2025,"Generative AI models have revolutionized intelligent systems by enabling machines to produce human-like content across diverse domains. However, their outputs often exhibit unpredictability due to complex and opaque internal semantic states, posing ...",,10.1145/3757927,https://dl.acm.org/doi/10.1145/3757927,"ACM Transactions on Intelligent Systems and Technology (TIST), Volume 16, Issue 6Article No.: 126, Pages 1–36https://doi.org/10.1145/3757927",article,ACM
